time,ProvidenciaExampleScenario.node[637].veinsmobility.speed
27094.5,5.5
27095,6.75
27095.5,8
27096,9.25
27096.5,10.5
27097,11.75
27097.5,13
27098,14.25
27098.5,14.3738
27099,14.9975
27099.5,16.1213
27100,15.8713
27100.5,15.7018
27101,15.6171
27101.5,15.5748
27102,15.5536
27102.5,15.543
27103,15.5377
27103.5,15.5351
27104,15.5337
27104.5,15.5331
27105,15.5327
27105.5,15.5326
27106,15.5325
27106.5,15.4055
27107,15.2737
27107.5,15.138
27108,14.9995
27108.5,14.8586
27109,14.9677
27109.5,15.0643
27110,15.146
27110.5,15.2117
27111,15.2641
27111.5,14.9409
27112,14.9767
27112.5,14.9738
27113,14.9876
27113.5,14.7239
27114,14.8094
27114.5,14.8756
27115,14.9059
27115.5,14.6912
27116,14.4824
27116.5,14.2792
27117,14.0818
27117.5,13.9675
27118,13.2672
27118.5,12.787
27119,12.477
27119.5,12.2514
27120,12.1385
27120.5,12.0033
27121,11.8252
27121.5,11.5696
27122,11.2492
27122.5,10.9083
27123,10.5705
27123.5,10.2457
27124,9.93759
27124.5,9.63947
27125,9.30841
27125.5,8.92127
27126,8.52443
27126.5,8.14284
27127,7.78472
27127.5,7.44949
27128,6.11426
27128.5,6.11426
27129,6.0111
27129.5,5.90584
27130,3.81406
27130.5,1.65703
27131,0.578514
27131.5,0
27132,0
27132.5,0.5
27133,1.5
27133.5,2.02314
27134,1.11054
27134.5,1.11054
27135,1.17559
27135.5,1.20546
27136,0.667727
27136.5,0
27137,0.255703
27137.5,0
27138,0.323787
27138.5,0.350187
27139,0.403366
27139.5,0.836659
27140,0
27140.5,0.0512865
27141,0.103115
27141.5,0.152659
27142,0.199156
27142.5,0.532301
27143,0.570793
27143.5,0.610685
27144,0.649775
27144.5,0
27145,0.0438821
27145.5,0.0890258
27146,0.341262
27146.5,0
27147,0.0522491
27147.5,0.510836
27148,0.567848
27148.5,0.624803
27149,0
27149.5,0.0521544
27150,0.105201
27150.5,0.160811
27151,0.208658
27151.5,0.253234
27152,0.660236
27152.5,0.700752
27153,0.763808
27153.5,1.22793
27154,1.29843
27154.5,1.36689
27155,1.43085
27155.5,1.50638
27156,1.89626
27156.5,2.32779
27157,2.78027
27157.5,3.26098
27158,3.73559
27158.5,4.34944
27159,5.13939
27159.5,6.0869
27160,7.14845
27160.5,8.31529
27161,9.56529
27161.5,10.8153
27162,11.8158
27162.5,12.4522
27163,12.587
27163.5,12.7203
27164,12.8365
27164.5,12.791
27165,11
27165.5,11
27166,11
27166.5,11
27167,11
27167.5,11
27168,11
27168.5,11
27169,11.5
27169.5,11.6332
27170,11.7644
27170.5,11.7967
27171,11.7897
27171.5,11.6802
27172,10.5707
27172.5,10.5707
27173,10.3703
27173.5,10.1647
27174,8.95903
27174.5,7.95471
27175,7.95471
27175.5,7.7298
27176,7.66808
27176.5,7.61847
27177,7.30804
27177.5,7
27178,6.99863
27178.5,6.99795
27179,6.9976
27179.5,6.99744
27180,6.99749
27180.5,6.99794
27181,6.94242
27181.5,6.63655
27182,6.5258
27182.5,6.60942
27183,6.30592
27183.5,6.14063
27184,6.00287
27184.5,6.09911
27185,6.35563
27185.5,6.44574
27186,6.53511
27186.5,6.61706
27187,6.67876
27187.5,6.51422
27188,5.34968
27188.5,5.34968
27189,2.58372
27189.5,2.58372
27190,2.34912
27190.5,2.2584
27191,2.1252
27191.5,1.98726
27192,1.86017
27192.5,1.9492
27193,1.91613
27193.5,1.9134
27194,1.9135
27194.5,1.92858
27195,1.95341
27195.5,1.97566
27196,2.0034
27196.5,2.02919
27197,2.0578
27197.5,2.08268
27198,2.10611
27198.5,2.12749
27199,2.14628
27199.5,2.16201
27200,2.17425
27200.5,2.1826
27201,2.18668
27201.5,2.18609
27202,2.18048
27202.5,2.16751
27203,2.14507
27203.5,2.11372
27204,2.07416
27204.5,2.02715
