time,RSUExampleScenario.node[571].veinsmobility.speed
27086,6.3
27086.5,7.55
27087,8.8
27087.5,10.05
27088,11.3
27088.5,10.285
27089,9.42642
27089.5,9.42642
27090,9.40021
27090.5,9.33736
27091,9.24135
27091.5,9.11606
27092,8.19809
27092.5,7.42961
27093,6.78223
27093.5,6.23371
27094,5.76645
27094.5,5.36644
27095,5.02243
27095.5,4.7253
27096,4.46764
27096.5,4.24336
27097,4.04743
27097.5,3.87569
27098,3.72464
27098.5,3.59135
27099,3.07239
27099.5,2.72546
27100,2.83728
27100.5,3.44909
27101,4.56091
27101.5,4.59796
27102,4.63426
27102.5,3.13257
27103,3.13257
27103.5,3.24105
27104,3.3136
27104.5,3.3816
27105,3.44825
27105.5,2.3752
27106,2.3752
27106.5,1.99324
27107,2.09651
27107.5,2.18059
27108,1.78358
27108.5,1.5395
27109,1.37576
27109.5,1.25911
27110,1.17154
27110.5,1.09101
27111,1.00321
27111.5,0.912691
27112,0
27112.5,0.0801639
27113,0.161254
27113.5,0.240583
27114,0.31584
27114.5,0.382885
27115,0.437446
27115.5,0.478661
27116,0.506909
27116.5,0
27117,0.0771259
27117.5,0.155564
27118,0.232447
27118.5,0.303315
27119,0.363709
27119.5,0.41208
27120,0.447974
27120.5,0
27121,0.0745067
27121.5,0.150087
27122,0.222178
27122.5,0.294362
27123,0.844782
27123.5,0.881093
27124,0.951933
27124.5,1.36496
27125,1.70699
27125.5,2.22244
27126,2.73263
27126.5,3.61272
27127,4.86272
27127.5,6.11272
27128,7.36272
27128.5,8.61272
27129,9.86272
27129.5,11.1127
27130,12.2419
27130.5,13.3558
27131,14
27131.5,14
27132,14.1435
27132.5,14.7871
27133,15.9306
27133.5,15.9076
27134,14.8846
27134.5,12.8616
27135,10.6116
27135.5,8.36163
27136,8.36163
27136.5,8.86163
27137,9.86163
27137.5,11.1116
27138,12.3616
27138.5,13.6116
27139,14.8616
27139.5,16.1116
27140,17.3616
27140.5,18.6116
27141,19.8616
27141.5,19.6116
27142,19.3616
27142.5,19.1116
27143,18.9516
27143.5,18.8717
27144,18.8317
27144.5,17.7917
27145,15.7517
27145.5,13.5017
27146,11.4593
27146.5,9.85555
27147,8.47285
27147.5,7.29721
27148,6.29488
27148.5,5.4379
27149,4.70303
27149.5,4.07088
27150,3.52525
27150.5,3.05257
